"","aprovado_vaga","codigo_vaga","ultimo_cargo_candidato","area_interesse_candidato","nivel_candidato","formacao_candidato","cargo_vaga","cidade_vaga","ultimo_salario_candidato","nivel_ingles_candidato","nivel_espanhol_candidato","mediana_teste_ingles_candidato","mediana_teste_espanhol_candidato","mediana_teste_logica_candidato","mediana_teste_outros_candidato"
"25733",NA,"J","ANALISTA","ENGENHARIA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",1760,4,1,7.375,0,7.32000017166138,7.19999980926514
"25734",NA,"J","SUPERVISOR","FINANCAS","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",880,4,2,5.875,0,4,4.75
"25735",NA,"J","ASSISTENTE","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2000,4,0,9.25,0,7.32000017166138,6.5
"25736",NA,"J","GESTOR","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1650,3,0,0,0,0,8.19999980926514
"25737",NA,"J","OUTROS","COMERCIAL/VENDAS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3600,1,2,3.98000001907349,0,4,9.95000004768372
"25738",NA,"J","VENDEDOR","COMERCIAL/VENDAS","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",3000,3,1,0,0,0,5.40000009536743
"25739",NA,"J","GESTOR","QUALIDADE","SUPERVISAO/COORDENACAO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",1500,4,1,7.875,0,8,9
"25740",NA,"J","PROFESSOR","INDUSTRIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,1,5.125,0,0,9.19999980926514
"25741",NA,"J","ADVOGADO","ADVOCACIA/JURIDICA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2000,3,0,6.86500000953674,0,6.80000019073486,5.59999990463257
"25742",NA,"J","SUPERVISOR","ENGENHARIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4696,2,0,3,0,7.17499995231628,5.875
"25743",NA,"J","GESTOR","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4708,2,2,0,0,0,5.69999980926514
"25744",NA,"J","ENGENHEIRO","TECNOLOGIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2500,3,1,5.75,0,0,4.59999990463257
"25745",NA,"J","ESTAGIARIO","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1200,3,3,3.39999997615814,0,6.01000022888184,3.5
"25746",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",800,3,0,0,0,0,6.70000004768372
"25747",NA,"J","PESQUISADOR","ENGENHARIA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",1100,3,0,7.25,0,7.32999992370605,5.84999990463257
"25748",NA,"J","ENGENHEIRO","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",8500,4,1,6.25,0,5.98999977111816,6.79999995231628
"25749",NA,"J","ESTAGIARIO","MARKETING","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",650,4,2,5.75,0,6.65000009536743,5.59999990463257
"25750",NA,"J","PESQUISADOR","ENSINO","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",1500,3,1,6.5,0,6.43499994277954,8
"25751",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1000,4,1,6.5,0,7.59999990463257,8.5
"25752",NA,"J","ANALISTA","FINANCAS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1500,3,0,6.375,0,7.98999977111816,8.5
"25753",NA,"J","ASSISTENTE","RELACIONAMENTO","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,4,1,6.5,0,4.5,9.40000009536743
"25754",NA,"J","ASSISTENTE","TECNOLOGIA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,7.875,0,6.65000009536743,8
"25755",NA,"J","ANALISTA","PRODUCAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1300,3,1,7.96000003814697,0,8,8.19999980926514
"25756",NA,"J","ANALISTA","ENGENHARIA","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",2500,2,1,4.25,0,7.32999992370605,5.90000009536743
"25757",NA,"J","ESTAGIARIO","OUTROS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,0,0,0,0,0,6
"25758",NA,"J","ADMINISTRATIVO","OUTROS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,0,0,0,0,0,5.80000019073486
"25759",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",2000,4,3,7.25,0,7.34000015258789,4.19999980926514
"25760",NA,"J","ANALISTA","RH","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3100,3,2,6.375,4.5,7.33500003814697,6.09999990463257
"25761",NA,"J","ANALISTA","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2700,3,0,5.5,4,7.26000022888184,6.45000004768372
"25762",NA,"J","ENGENHEIRO","ENGENHARIA","GERENCIA","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,4,0,8.32999992370605,0,6,7.40000009536743
"25763",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,1,4.5,0,6.65999984741211,7.84999990463257
"25764",NA,"J","GESTOR","ADMINISTRACAO","GERENCIA","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",5000,4,4,5.75,5,3.99000000953674,3.70000004768372
"25765",NA,"J","TECNICO","LOGISTICA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1800,4,1,6,0,6.67999982833862,7.29999995231628
"25766",NA,"J","ENGENHEIRO","BIOLOGICAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3000,3,0,4.75,0,5.98999977111816,8.5
"25767",NA,"J","ANALISTA","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4700,3,1,7.32999992370605,5,8,9
"25768",NA,"J","ANALISTA","OUTROS","TECNICO","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",0,0,0,0,0,0,5.69999980926514
"25769",NA,"J","ASSISTENTE","OUTROS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,0,0,0,0,0,6.5
"25770",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,5.5,0,0,8.5
"25771",NA,"J","ANALISTA","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,6.5,0,3.32999992370605,6.5
"25772",NA,"J","OUTROS","SERVICOS TECNICOS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3500,1,0,3.5,0,5.32000017166138,2.90000009536743
"25773",NA,"J","SUPERVISOR","ADMINISTRACAO","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",6000,3,1,6.625,0,6,7
"25774",NA,"J","TECNICO","FINANCAS","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2500,3,1,5.75,0,6.65000009536743,8
"25775",NA,"J","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1595,3,1,7,0,7.98999977111816,8.19999980926514
"25776",NA,"J","ENGENHEIRO","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",7600,3,1,8,0,5.98999977111816,6.5
"25777",NA,"J","AUXILIAR","ADMINISTRACAO","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",2500,2,0,4,0,4,3.40000009536743
"25778",NA,"J","ESTAGIARIO","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1600,3,0,0,0,6.67000007629395,6.80000019073486
"25779",NA,"J","ANALISTA","COMPRAS","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",3500,4,2,6.67999982833862,5.25,5.34000015258789,6
"25780",NA,"J","ESTAGIARIO","LOGISTICA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1500,4,0,8.375,0,7,7.19999980926514
"25781",NA,"J","ASSISTENTE","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,2,6.45000004768372,0,6.40000009536743,6.70000004768372
"25782",NA,"J","ANALISTA","ENGENHARIA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,1,6.82999992370605,0,7.32999992370605,7
"25783",NA,"J","CONSULTOR","ADMINISTRACAO","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1500,3,0,0,0,0,4.40000009536743
"25784",NA,"J","ADMINISTRATIVO","COMERCIAL/VENDAS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",920,2,3,0,0,0,5.69999980926514
"25785",NA,"J","ESTAGIARIO","OUTROS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,0,0,0,0,0,4
"25786",NA,"J","NAO CLASSIFICADO","OUTROS","NULL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,0,0,0,0,0,4
"25787",NA,"J","ANALISTA","ENGENHARIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,0,0,0,8
"25788",NA,"J","ESTAGIARIO","OUTROS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,0,0,0,0,0,8.39999961853027
"25789",NA,"J","ANALISTA","TECNOLOGIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1700,2,1,6.15499997138977,0,8,3.70000004768372
"25790",NA,"J","NAO CLASSIFICADO","ADMINISTRACAO","NULL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",1645,0,0,0,0,7,5
"25791",NA,"J","PROFESSOR","SERVICOS TECNICOS","PLENO","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",0,3,3,6.375,0,5.65499997138977,8.5
"25792",NA,"J","GESTOR","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2400,1,1,2.625,0,4.65999984741211,4.19999980926514
"25793",NA,"J","ANALISTA","OUTROS","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,0,0,0,0,0,8
"25794",NA,"J","OUTROS","OUTROS","TECNICO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,0,0,0,0,0,6.5
"25795",NA,"J","ADVOGADO","ADVOCACIA/JURIDICA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",750,1,1,2.5,0,4,3
"25796",NA,"J","ENGENHERIO","ADMINISTRACAO","SENIOR","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,4,0,8.5,0,8.39999961853027,8.09999990463257
"25797",NA,"J","ADMINISTRATIVO","BIOLOGICAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1500,4,1,6.63000011444092,0,6,5.65000009536743
"25798",NA,"J","AUXILIAR","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2000,3,1,5.5,0,8,7.09999990463257
"25799",NA,"J","ENGENHEIRO","TRANSPORTE","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,4,1,7.30999994277954,0,5.98999977111816,10
"25800",NA,"J","ANALISTA","LOGISTICA","SENIOR","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",5500,4,1,8.25,0,5.74000000953674,8.84999990463257
"25801",NA,"J","ANALISTA","COMERCIAL/VENDAS","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",3300,3,2,6.25,0,7.98999977111816,6.30000019073486
"25802",NA,"J","ESTAGIARIO","INDUSTRIA","ESTAGIO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",900,4,1,6.25,8.25,5.32999992370605,7
"25803",NA,"J","OUTROS","SSMA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",1300,0,0,2.75,0,3.33999991416931,2.5
"25804",NA,"J","OUTROS","COMPRAS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1230,4,1,7.75,0,5.32000017166138,7.84999990463257
"25805",NA,"J","ENGENHEIRO","INDUSTRIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4500,4,4,7.25,0,4.5,8
"25806",NA,"J","ANALISTA","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1500,2,0,4.5,0,6.99499988555908,7
"25807",NA,"J","ADMINISTRATIVO","ENGENHARIA","TECNICO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",5650,4,1,6.25,5.25,6.65999984741211,4.95000004768372
"25808",NA,"J","ANALISTA","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",5500,4,1,8.64000034332275,0,8.09999990463257,7.40000009536743
"25809",NA,"J","GESTOR","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,1,7,0,9,4.5
"25810",NA,"J","AUXILIAR","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,1,0,2.75,0,3.99000000953674,4
"25811",NA,"J","ANALISTA","COMERCIAL/VENDAS","SENIOR","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",5800,3,1,5.32000017166138,0,5.30999994277954,8
"25812",NA,"J","SUPERVISOR","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3500,4,4,6.25,6.875,5.34000015258789,5.59999990463257
"25813",NA,"J","TECNICO","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,1,6,0,7.32999992370605,9.09999990463257
"25814",NA,"J","OUTROS","RH","DIRETORIA","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1900,4,1,7.25,0,7,8
"25815",NA,"J","ANALISTA","COMERCIAL/VENDAS","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",4000,3,0,6,0,5.98000001907349,7
"25816",NA,"J","ANALISTA","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3600,2,0,2.75,0,7.66000008583069,2.09999990463257
"25817",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",360,3,1,5.40499997138977,0,7.09999990463257,4.75
"25818",NA,"J","ANALISTA","ATEND. A CLIENTE","PLENO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",1300,4,0,1.3,0,7.32000017166138,8
"25819",NA,"J","ESTAGIARIO","COMPRAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,5.5,0,0,6.69999980926514
"25820",NA,"J","OPERADOR","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",892,1,1,1.75,3.25,3,2.79999995231628
"25821",NA,"J","AUXILIAR","ADMINISTRACAO","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,0,0,0,0,7.19999980926514
"25822",NA,"J","ANALISTA","FINANCAS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3400,4,0,2.36500000953674,0,4,5.45000004768372
"25823",NA,"J","ANALISTA","COMERCIAL/VENDAS","GERENCIA","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",5200,2,1,3.75,0,7.57999992370605,6.70000004768372
"25824",NA,"J","ANALISTA","ADMINISTRACAO","SENIOR","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",6500,3,0,7.75,0,7.32999992370605,9
"25825",NA,"J","ANALISTA","AUDITORIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,1,3.125,0,4.65999984741211,3.04999995231628
"25826",NA,"J","ANALISTA","ANALYTICS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2800,4,0,8,0,8.09999990463257,7.30000019073486
"25827",NA,"J","ANALISTA","ENGENHARIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,2,5.45499992370605,0,6,8
"25828",NA,"J","AUDITOR","GESTAO","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",0,4,1,7.5,0,5.32000017166138,7
"25829",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,3,1,5.98999977111816,5,5,5.20000004768372
"25830",NA,"J","ASSISTENTE","ADMINISTRACAO","SUPERVISAO/COORDENACAO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",3150,4,1,2,0,0,4.39999997615814
"25831",NA,"J","NAO CLASSIFICADO","ENGENHARIA","NULL","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,2,2.66000008583069,0,7.19999980926514,5.19999980926514
"25832",NA,"J","ENGENHEIRO","QUALIDADE","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",0,4,1,4.25,0,4.65999984741211,5
"25833",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,1,0,0,0,5.5
"25834",NA,"J","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,1,1,5.98499989509583,5,5.59999990463257,5.30000019073486
"25835",NA,"J","ENGENHEIRO","CONSTRU플O","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2590,0,0,0,0,6,5.75
"25836",NA,"J","ANALISTA","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",590,3,0,0,0,0,5
"25837",NA,"J","ENGENHEIRO","INDUSTRIA","SUPERVISAO/COORDENACAO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",4900,4,3,3,2,5.32999992370605,4
"25838",NA,"J","AUDITOR","INDUSTRIA","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",2556,2,0,6.5,0,6.65999984741211,6.40000009536743
"25839",NA,"J","TRAINEE","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2200,3,2,6.86500000953674,0,6.65999984741211,6.59999990463257
"25840",NA,"J","PESQUISADOR","MARKETING","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4116,4,2,8.5,0,6.67000007629395,7
"25841",NA,"J","ADMINISTRATIVO","ADMINISTRACAO","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",2800,0,0,3,0,5.3199999332428,2
"25842",NA,"J","ANALISTA","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,7.57999992370605,0,7.32999992370605,8.19999980926514
