"","aprovado_vaga","codigo_vaga","ultimo_cargo_candidato","area_interesse_candidato","nivel_candidato","formacao_candidato","cargo_vaga","cidade_vaga","ultimo_salario_candidato","nivel_ingles_candidato","nivel_espanhol_candidato","mediana_teste_ingles_candidato","mediana_teste_espanhol_candidato","mediana_teste_logica_candidato","mediana_teste_outros_candidato"
"33","0","K","ESTAGIARIO","BIOLOGICAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,0,7,0,7.32000017166138,7.5
"34","0","K","OUTROS","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",600,4,1,7.75,0,7.98999977111816,6.84999990463257
"35","0","K","TECNICO","AGRONOMIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2000,3,0,4,0,7.98999977111816,6.69999980926514
"36","0","K","DESENVOLVEDOR","ADMINISTRACAO","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,1.06700000762939,0,6.79999995231628,7.75
"37","1","K","ESTAGIARIO","MARKETING","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1700,4,3,7.5,0,4,3.20000004768372
"38","0","K","NAO CLASSIFICADO","COMERCIAL/VENDAS","NULL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,0,8.24499988555908,0,7.98999977111816,9
"39","0","K","ASSISTENTE","ENSINO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,1,6,0,3.99000000953674,4.39999997615814
"40","0","K","ESTAGIARIO","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1000,3,1,7,0,7.25,7.5
"41","0","K","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1300,4,0,7.75,0,8.25,9.19999980926514
"42","0","K","TRAINEE","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2000,4,3,8.625,7.5,10,7
"43","0","K","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",600,3,1,6.5,0,7.32999992370605,8.25
"44","1","K","GESTOR","ADMINISTRACAO","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3600,4,3,8.125,7.25,5.99499988555908,6
"45","0","K","ASSISTENTE","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",0,4,2,5,3.75,4.83310008049011,5.22499990463257
"46","0","K","ESTAGIARIO","LOGISTICA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,2,1,7.25,7.25,8.68000030517578,8.90000009536743
"47","0","K","ANALISTA","COMERCIAL/VENDAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3400,4,1,6.90000009536743,0,7.32999992370605,3.30000007152557
"48","0","K","GESTOR","COMERCIAL/VENDAS","SENIOR","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",5000,4,1,6.27999997138977,0,8.49749994277954,5.70000004768372
"49","0","K","TRAINEE","LOGISTICA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,6,0,5.32000017166138,6.10000014305115
"50","0","K","AUXILIAR","INDUSTRIA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1476,1,0,0,0,7.34000015258789,2
"51","0","K","ANALISTA","PESQUISA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",5800,4,3,8.98999977111816,0,7.59999990463257,7.19999980926514
"52","0","K","ESTUDANTE","INDUSTRIA","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL MESTRADO","PROGRAMA TRAINEE","NULL",1500,3,0,8,0,7,9.25
"53","0","K","ANALISTA","FINANCAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,1,5.5,0,6.5,4.90000009536743
"54","0","K","ANALISTA","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3000,3,1,6.5,0,8.67000007629395,8.19999980926514
"55","0","K","PROFESSOR","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1000,3,0,4.77500009536743,0,7.21000003814697,5.75
"56","0","K","ASSISTENTE","COMPRAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1600,3,1,6,0,4.65999984741211,4.59999990463257
"57","0","K","OUTROS","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,8.3100004196167,0,6.01000022888184,8.09999990463257
"58","0","K","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",1300,4,3,6.25,6.25,8.65999984741211,7.34999990463257
"59","0","K","SUPERVISOR","COMERCIAL/VENDAS","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3400,3,2,5.92000007629395,0,6.01000022888184,6
"60","0","K","ANALISTA","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3000,4,2,7.5,6.5,8.67000007629395,7
"61","0","K","CONSULTOR","ENGENHARIA","SENIOR","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",5500,4,0,8,0,7,7.70000004768372
"62","0","K","PESQUISADOR","BIOLOGICAS","PLENO","POS-GRADUACAO NO NIVEL MESTRADO","PROGRAMA TRAINEE","NULL",1500,0,0,3.4449999332428,0,6,5.69999980926514
"63","0","K","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,2,6.5,0,7.32999992370605,6.40000009536743
"64","0","K","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",0,3,0,0,0,7.99919986724854,5.5
"65","0","K","ANALISTA","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,1,0,4.5,0,7.32999992370605,5.19999980926514
"66","0","K","ANALISTA","QUALIDADE","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2350,3,2,7.75,5,7.54999995231628,8.875
"67","0","K","ANALISTA","FINANCAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",6000,4,1,6.75,0,7.92000007629395,7.59999990463257
"68","0","K","ESTAGIARIO","COMPRAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,1,5,0,9.34000015258789,7.75
"69","0","K","PESQUISADOR","INDUSTRIA","TECNICO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,1,8,0,5.32000017166138,7.09999990463257
"70","0","K","ANALISTA","MARKETING","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,0,0,5.22000002861023,7.25
"71","0","K","ANALISTA","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",5500,4,0,7,0,7.98999977111816,6
"72","0","K","TRAINEE","ENSINO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,9.17000007629395,4,8,5.80000019073486
"73","0","K","OUTROS","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,3.5,0,4,3.90000009536743
"74","0","K","OUTROS","INDUSTRIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,0,5.25,0,6.65999984741211,7.19999980926514
"75","0","K","NAO CLASSIFICADO","ENGENHARIA","NULL","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",0,4,0,6.5,0,5.8050000667572,5.09999990463257
"76","0","K","OUTROS","ADMINISTRACAO","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1400,3,1,7.32500004768372,0,7.32000017166138,8
"77","1","K","OUTROS","TRANSPORTE","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1700,4,4,4.125,5.25,3.6,3.64999997615814
"78","0","K","ANALISTA","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,3,7.625,8.5,8,6.25
"79","0","K","GESTOR","COMPRAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3000,4,2,6.75,0,4.65000009536743,7.29999995231628
"80","0","K","ESTAGIARIO","GESTAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1440,3,0,8.25,0,6.65000009536743,7.70000004768372
"81","0","K","TECNICO","BIOLOGICAS","TECNICO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1500,3,0,0,0,0,5.90000009536743
"82","0","K","TRAINEE","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2000,3,0,5.5,0,5.84500002861023,4.59999990463257
"83","0","K","OUTROS","SSMA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,1,3.75,2.25,7.32000017166138,7.22499990463257
"84","0","K","ANALISTA","SERVICOS TECNICOS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",4500,3,4,7.25,7,6.65999984741211,7.79999995231628
"85","0","K","DESENVOLVEDOR","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,6.75,5.5,8,6.40000009536743
"86","0","K","ASSISTENTE","FINANCAS","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",900,3,1,3.99500000476837,0,7,4.25
"87","0","K","ANALISTA","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",4500,3,2,0,0,8,9.09999990463257
"88","0","K","TRAINEE","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",5000,3,1,7.15499997138977,0,8,8.59999990463257
"89","0","K","TRAINEE","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2300,3,0,5.625,0,6,6.09999990463257
"90","0","K","AUDITOR","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2200,4,1,5.875,6,6,4
"91","0","K","SUPERVISOR","ATEND. A CLIENTE","SUPERVISAO/COORDENACAO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",6000,3,1,8,0,6.5,5.54999995231628
"92","0","K","SUPERVISOR","FINANCAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3200,3,1,5.5,0,4.5,8
"93","0","K","OUTROS","ADMINISTRACAO","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",4500,3,1,6.65499997138977,0,4.16750001907349,5.40000009536743
"94","0","K","ANALISTA","SSMA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",4500,4,1,7.19000005722046,0,6.20000004768372,7.70000004768372
"95","0","K","EMPREENDEDOR","PESQUISA","DIRETORIA","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,1,8.70499992370605,0,8,8.39999961853027
"96","0","K","ANALISTA","TECNOLOGIA","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3200,3,0,1.60000002384186,0,4,3.25
"97","0","K","GESTOR","ENGENHARIA","GERENCIA","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1100,2,3,8.39999961853027,0,0,3.20000004768372
"98","0","K","OUTROS","PRODUCAO CULTURAL","GERENCIA","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1000,4,2,5.5,0,7.32999992370605,1.5
"99","0","K","AUXILIAR","FINANCAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1700,3,0,0,0,9,6.29999995231628
"100","0","K","VENDEDOR","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2160,3,1,5.25,0,7.34000015258789,2.90000009536743
"101","1","K","ANALISTA","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3500,3,2,5.34999990463257,6.25,7.32999992370605,5.40000009536743
"102","0","K","ESTAGIARIO","TECNOLOGIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",0,4,1,8.68000030517578,0,6.80000019073486,10
"103","0","K","OUTROS","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,8.125,0,6.65000009536743,7.79999995231628
"104","0","K","TRAINEE","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2100,4,1,8.5,4.75,7.16000008583069,8.5
"105","0","K","PROFESSOR","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3500,3,0,5,0,5.32000017166138,1.1
"106","0","K","ASSISTENTE","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",0,3,4,6.75,0,8.39999961853027,5.69999980926514
"107","0","K","OUTROS","PRODUCAO","TECNICO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,4,0,5.98000001907349,1.2
"108","0","K","ASSISTENTE","COMPRAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2032,2,1,3.75,3.25,5.06000018119812,3.20000004768372
"109","0","K","ESTAGIARIO","FINANCAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1087,3,0,5.59999990463257,0,6,4
"110","0","K","ADMINISTRATIVO","RH","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3200,4,1,7.41000008583069,0,5.32000017166138,5.39999985694885
"111","0","K","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,0,7.25,0,7.32999992370605,6.80000019073486
"112","0","K","ANALISTA","ADMINISTRACAO","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",3200,3,0,0,0,3.33999991416931,5.10000002384186
"113","0","K","CONSULTOR","LOGISTICA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,6.625,4,5.34000015258789,6.84999990463257
"114","0","K","ASSISTENTE","FINANCAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",700,4,1,7.25,0,4.65999984741211,4.5
"115","0","K","ADMINISTRATIVO","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",1900,3,0,3.375,0,7,8
"116","0","K","ASSISTENTE","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",1300,4,1,3.70500004291534,2.75,3.74500000476837,5
"117","0","K","ADMINISTRATIVO","DESIGN","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1500,4,3,6,0,5.32500004768372,6.34999990463257
"118","0","K","ANALISTA","PESQUISA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,2,5.875,0,5.98999977111816,6.5
"119","0","K","ANALISTA","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,2,1,4.5,4,5.66500020027161,4.90000009536743
"120","0","K","OUTROS","INDUSTRIA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",1200,3,2,4.75,0,6.67000007629395,4.69999980926514
"121","0","K","ENGENHEIRO","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",6500,4,4,7.5,6.75,6.75,9
"122","0","K","ESTAGIARIO","ADMINISTRACAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,0,7,0,9.32999992370605,6.29999995231628
"123","0","K","ANALISTA","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2800,4,1,7.03500008583069,0,6,6
"124","0","K","ESTAGIARIO","BIOLOGICAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,2,8.32999992370605,0,7.98999977111816,8.19999980926514
"125","0","K","ASSISTENTE","ENGENHARIA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2200,3,2,4.65999984741211,0,5.32000017166138,5.19999980926514
"126","0","K","ANALISTA","INDUSTRIA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",5000,4,2,8.875,0,8,9
"127","0","K","ANALISTA","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,1,6.70499992370605,0,4,6.40000009536743
"128","0","K","VENDEDOR","COMPRAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3200,4,4,6.75,0,3.99500000476837,5.59999990463257
"129","0","K","ANALISTA","ENSINO","ESTAGIO","POS-GRADUACAO NO NIVEL MESTRADO","PROGRAMA TRAINEE","NULL",650,4,1,6.75,0,6.65999984741211,9.20000004768372
"130","0","K","OUTROS","ENGENHARIA","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1200,4,2,9.83500003814697,0,9,7.09999990463257
"131","0","K","ESTAGIARIO","OUTROS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,0,0,0,0,0,10
"132","0","K","TRAINEE","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",4600,3,1,7.5,0,9.32999992370605,9
"133","0","K","ADMINISTRATIVO","FINANCAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1500,3,1,0,0,1.5,3.40000009536743
"134","0","K","TRAINEE","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",5406,4,1,6.75,0,8.65999984741211,7.19999980926514
"135","0","K","ESTAGIARIO","MARKETING","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,9,5.75,6.65999984741211,8.09999990463257
